cluster_id,mec_id,private_cpu,public_cpu,private_cpu_slot,public_cpu_slot,lambda_mean,lambda_var,slots_observed,n_tasks_mec,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,n_mecs_cluster
0,9.75,5.0,5.0,5.0,5.0,1.5701164058821304,0.6150933828109715,63.625,100.0,1.0,3.125,982252086.25,66.4316365625,0.14086746572620995,0.2790989027222728,0.0,0.14086746572620995,0.08232670309403217,0.4977069284574851,0.28085324567846326,8
1,8.333333333333334,5.0,5.0,5.0,5.0,1.5931068029011968,0.6716953951596684,63.5,101.0,1.0,3.8333333333333335,1055392268.3333334,64.445003,0.15731215429953804,0.29766374942867596,0.0,0.15731215429953804,0.07922652769185141,0.46579756857993465,0.2312847318754665,6
2,11.0,5.0,5.0,5.0,5.0,1.4863339552238806,0.48227451151772865,63.75,94.75,1.0,4.0,952905305.0,64.391797125,0.153095818880235,0.2497736373241839,0.0,0.153095818880235,0.13802902491857788,0.45910151887700323,0.26918289722680055,4
3,9.0,5.0,5.0,5.0,5.0,1.651098901098901,0.7913152970218189,67.5,111.5,1.0,3.0,983185927.5,58.2651185,0.15106434446057088,0.3613933236574746,0.0,0.15106434446057088,0.10095145944202549,0.38659087243992907,0.26838413159167873,2
