cluster_id,f_local_slot,m_local,lambda_mean,lambda_var,P_deadline_hard,P_latency_sensitive,P_compute_intensive,P_data_intensive,P_general,b_mb_med,rho_med,mem_med,non_atomic_share,hard_share
0,-0.35302130646462904,-1.3323376608093978,0.24253562503633308,0.0,0.36726190476190473,0.0,0.18452380952380948,0.16071428571428573,0.2875,0.24151098687311215,0.07935729286604143,0.00023778654150176845,0.26726190476190476,0.36726190476190473
1,0.08696723746001644,0.34579175516981286,0.24253562503633316,0.0,0.08383838383838384,0.0,0.5853535353535353,0.1297979797979798,0.201010101010101,0.12315537332782299,0.4335853620691396,-0.11117925441615366,0.30808080808080807,0.08383838383838384
2,-1.3474179773677633,-0.4585540860798872,-4.123105625617661,0.0,0.0,0.0,0.0,0.0,0.0,-3.197921414746747,-3.174679241942882,-2.8753993120627297,0.0,0.0
3,0.9014317955830492,0.9920977112247717,0.24253562503633308,0.0,0.25,0.0,0.75,0.0,0.0,0.4385841803241242,-0.9560944561409109,2.0487099822372117,0.25,0.25
