cluster_id,mec_id,private_cpu,public_cpu,private_cpu_slot,public_cpu_slot,lambda_mean,lambda_var,slots_observed,n_tasks_mec,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,n_mecs_cluster
0,11.0,5.0,5.0,5.0,5.0,2.4838638533948423,2.098068756609732,90.5,224.75,1.0,3.75,1221301600.0,65.619401875,0.2426029308729826,0.22083127957878676,0.0,0.2426029308729826,0.0869433026828172,0.44962248686541345,0.3360167524994429,4
1,12.25,5.0,5.0,5.0,5.0,2.802844370583089,2.044475336473106,93.5,262.25,1.0,3.25,1262173250.0,62.93185925,0.24178575263858168,0.25298721804084623,0.0,0.24178575263858168,0.07759490376887013,0.42763212555170194,0.3639979867153621,4
2,8.0,5.0,5.0,5.0,5.0,2.937825059101655,2.3787414839206655,92.66666666666667,272.3333333333333,1.0,4.0,1198064183.3333333,64.96025166666666,0.2596075542940322,0.2605364292656747,0.0,0.2596075542940322,0.07209667524288195,0.40775934119741114,0.371960241769483,3
3,14.666666666666666,5.0,5.0,5.0,5.0,3.1102507859910795,3.011822893366748,93.66666666666667,291.3333333333333,1.0,3.0,1206340050.0,65.32199166666668,0.24263577232176525,0.24765715238333394,0.0,0.24263577232176525,0.07149236288664003,0.43821471240826076,0.34428391678418474,3
4,4.833333333333333,5.0,5.0,5.0,5.0,2.4546999918589267,1.8524200810638645,90.33333333333333,221.66666666666666,1.0,3.5,1201996191.6666667,62.428535000000004,0.25160301471914187,0.25958876840584805,0.0,0.25160301471914187,0.09759302707452171,0.39121518980048836,0.3453185608856526,6
