K,inertia,silhouette,davies_bouldin,calinski_harabasz,sil_norm,ch_norm,db_norm,score,elbow_score
2,86.16329166474645,0.09407250728314798,2.3768546256229484,2.913141309392878,0.0,0.0,1.0,-0.2,0.0
3,60.327724290389796,0.1488313310236671,1.631409271679697,5.604933125628876,0.6464629740094062,1.0,0.2848421820412964,0.6016167531955031,1.0
4,50.445832911755254,0.15445053449228668,1.4491552941124937,5.250487504646307,0.712801268694137,0.8683235386761076,0.10999320589330348,0.6104512817694371,0.03829554650004402
5,41.174896274061524,0.17877778189601756,1.3345037832997835,5.367332694019168,1.0,0.9117314978905199,0.0,0.764692599156208,0.0
