K,inertia,silhouette,davies_bouldin,calinski_harabasz,sil_norm,ch_norm,db_norm,score,elbow_score
2,79.78523054108337,0.1731949770599673,1.9186347168859692,4.604889282644738,0.0,0.0,1.0,-0.2,0.0
3,63.532411821309395,0.18619396976171781,1.494641925121261,4.905282380095921,0.3337301341160647,0.22857095894491966,0.5262870974665368,0.1196630177310864,0.4444450364030788
4,49.12258575292864,0.21214558826617536,1.2556651719304481,5.545188604312109,1.0,0.7154795482066503,0.2592863993630036,0.6343345394100595,1.0
5,38.85948762712695,0.1893253077368757,1.023593037638575,5.919111784216211,0.41412265885926575,1.0,0.0,0.5656490635437064,0.0
