cluster_id,agent_id,f_local,f_local_slot,m_local,lambda_mean,lambda_var,slots_observed,n_tasks_agent,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,mec_id,n_agents_cluster
0,9.3,1546697737.5448103,1546697737.5448103,4435.854979852661,1.0843312611535132,0.08968255490935965,507.6,552.8,1.0,2.99247959,1198796145.0,63.88034415,0.2531949364610847,0.23254300581176154,0.0,0.2531949364610847,0.1145062917177588,0.39975576600939494,0.3416229080958972,9.3,10
1,7.0,1360745296.6872175,1360745296.6872175,4921.886700954104,1.0423467281761316,0.04508429363987113,336.0,350.5,1.0,2.9619072,1245569412.5,66.167322,0.2639717857962147,0.1999277698500784,0.0,0.2639717857962147,0.08942897169688191,0.44667147265682494,0.34909597588274505,7.0,4
2,7.0,1817625401.8339274,1817625401.8339274,4978.9756767184235,1.0436853519618383,0.04184528808001745,371.6666666666667,388.0,1.0,3.1004667833333333,1196436683.3333333,64.80244733333335,0.2671496817976053,0.20660810511909808,0.0,0.2671496817976053,0.12113068869795053,0.40511152438534603,0.37046922519050796,7.0,3
3,11.0,1937472601.2864904,1937472601.2864904,5303.971139728006,1.018181818181818,0.01796008869179599,165.0,168.0,1.0,3.0061749,1243016000.0,62.257278,0.19047619047619047,0.23809523809523808,0.0,0.19047619047619047,0.10119047619047619,0.47023809523809523,0.3630952380952381,11.0,1
