cluster_id,agent_id,f_local,f_local_slot,m_local,lambda_mean,lambda_var,slots_observed,n_tasks_agent,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,mec_id,n_agents_cluster
0,8.909090909090908,1350409800.874666,1350409800.874666,5910.5620912740715,1.3327865574324422,0.4363052783725798,40.45454545454545,55.36363636363637,1.0,4.903342259090909,1451036981.8181818,63.200063863636366,0.3566536136200587,0.19467185799542175,0.0,0.3566536136200587,0.08912898846811589,0.35954553991640364,0.4620387620833459,8.909090909090908,11
1,8.2,1507303805.6627662,1507303805.6627662,4072.5726456587668,1.194768907563025,0.2131086070791953,29.2,35.4,1.0,5.7024827700000005,1346965290.0,64.5194956,0.32963735326906685,0.17571775198373665,0.0,0.32963735326906685,0.1497728812818327,0.34487201346536384,0.37674907644217104,8.2,5
2,7.0,1788102291.2267356,1788102291.2267356,5033.468472363685,1.1950757575757576,0.25507011104837185,23.0,27.5,1.0,4.818546575,1555222450.0,61.7807455,0.19761273209549074,0.14787798408488065,0.0,0.19761273209549074,0.14389920424403185,0.5106100795755968,0.5258620689655172,7.0,2
