cluster_id,mec_id,private_cpu,public_cpu,private_cpu_slot,public_cpu_slot,lambda_mean,lambda_var,slots_observed,n_tasks_mec,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,n_mecs_cluster
0,11.666666666666666,5.0,5.0,5.0,5.0,4.318893401367628,3.890213057002452,98.33333333333333,424.3333333333333,1.0,3.0,1579797200.0,63.95820233333333,0.34220566843066175,0.21522961768183332,0.0,0.34220566843066175,0.06231524279081413,0.38024947109669077,0.4597281706384129,3
1,9.333333333333334,5.0,5.0,5.0,5.0,3.4377048409628195,2.9107117507740985,97.66666666666667,335.6666666666667,1.0,3.6666666666666665,1516406075.0,66.03349708333333,0.3539095104793914,0.21530661912737592,0.0,0.3539095104793914,0.06555826306387379,0.3652256073293589,0.47090511520088835,6
2,11.0,5.0,5.0,5.0,5.0,4.336734693877551,3.928470482226004,98.75,428.25,1.0,4.0,1481777487.5,64.499595625,0.3447905992362244,0.21596795348318956,0.0,0.3447905992362244,0.07478018705440943,0.3644612602261766,0.43336516604243247,4
3,8.5,5.0,5.0,5.0,5.0,5.23,4.936868686868687,100.0,523.0,1.0,3.0,1487052250.0,65.167625,0.3359839463218858,0.2221100269634475,0.0,0.3359839463218858,0.06573117772094844,0.37617484899371834,0.43801882685222787,2
4,7.6,5.0,5.0,5.0,5.0,3.832710441252415,3.6455565278282513,98.2,376.6,1.0,3.0,1466662280.0,63.05721080000001,0.35742955693716094,0.229744718983068,0.0,0.35742955693716094,0.06463706329997558,0.34818866077979543,0.4786478979674921,5
